Index,School,Ranking,Class
364,EAST TEXAS BAPTIST,25.7,DIVISION 3
365,ELMHURST,0.6,DIVISION 3
366,EMORY & HENRY,28.9,DIVISION 3
367,ENDICOTT,24.4,DIVISION 3
368,EUREKA,6.6,DIVISION 3
369,F.D.U.- FLORHAM PARK,1.3,DIVISION 3
370,FERRUM COLLEGE,14.1,DIVISION 3
371,FINLANDIA,-29.1,DIVISION 3
372,FITCHBURG,-20.5,DIVISION 3
373,FRAMINGHAM STATE,22.1,DIVISION 3
374,FRANKLIN & MARSHALL,21.5,DIVISION 3
375,FRANKLIN COLLEGE,10.5,DIVISION 3
376,GALLAUDET,-29.1,DIVISION 3
377,GENEVA,22.7,DIVISION 3
378,GEORGE FOX,22.4,DIVISION 3
379,GETTYSBURG,-1.8,DIVISION 3
380,GREENSBORO COLLEGE,-23.7,DIVISION 3
381,GREENVILLE,2.4,DIVISION 3
382,GRINNELL,-38.9,DIVISION 3
383,GROVE CITY,19.4,DIVISION 3
384,GUILFORD,5.6,DIVISION 3
385,GUSTAVUS ADOLPHUS,40.0,DIVISION 3
386,HAMILTON,20.3,DIVISION 3
387,HAMLINE,-11.4,DIVISION 3
388,HAMPDEN-SYDNEY,7.7,DIVISION 3
389,HANOVER,35.2,DIVISION 3
390,HARDIN-SIMMONS,41.8,DIVISION 3
391,HARTWICK,-12.7,DIVISION 3
392,HEIDELBERG,36.3,DIVISION 3
393,HENDRIX,21.9,DIVISION 3
394,HIRAM,-9.0,DIVISION 3
395,HOBART,29.5,DIVISION 3
396,HOPE,42.4,DIVISION 3
397,HOWARD PAYNE,-1.3,DIVISION 3
398,HUNTINGDON-ALA.,17.3,DIVISION 3
399,HUSSON-MAINE,7.2,DIVISION 3
400,ILLINOIS COLLEGE,10.8,DIVISION 3
401,ILLINOIS WESLEYAN,36.6,DIVISION 3
402,IOWA-WESLEYAN,-33.4,DIVISION 3
403,ITHACA,40.8,DIVISION 3
404,JOHN CARROLL,39.7,DIVISION 3
405,JOHNS HOPKINS,43.3,DIVISION 3
406,JUNIATA,11.8,DIVISION 3
407,KALAMAZOO,-3.9,DIVISION 3
408,KEAN,17.1,DIVISION 3
409,KENYON,-10.1,DIVISION 3
410,HAWAII,12.0,DIVISION 3
411,KNOX,-10.6,DIVISION 3
412,LA VERNE,9.1,DIVISION 3
413,LAGRANGE,9.1,DIVISION 3
414,LAKE FOREST,8.6,DIVISION 3
415,LAKELAND COLLEGE,2.8,DIVISION 3
416,LAWRENCE,-23.8,DIVISION 3
417,LEBANON VALLEY,4.4,DIVISION 3
418,LEWIS & CLARK,8.0,DIVISION 3
419,LINFIELD,41.5,DIVISION 3
420,LORAS,11.9,DIVISION 3
421,LOUISIANA COLLEGE,3.5,DIVISION 3
422,LUTHER,-3.6,DIVISION 3
423,LYCOMING,11.8,DIVISION 3
424,M.I.T.,11.2,DIVISION 3
425,MACALESTER,-6.0,DIVISION 3
426,MACMURRAY,-5.6,DIVISION 3
427,MAINE MARITIME,-14.3,DIVISION 3
428,MANCHESTER COLLEGE,1.5,DIVISION 3
429,MARIETTA,25.6,DIVISION 3
430,MARTIN LUTHER-MN,10.2,DIVISION 3
431,MARY HARDIN BAYLOR,58.7,DIVISION 3
432,MARYVILLE COLLEGE,13.1,DIVISION 3
433,MASS-MARITIME,7.6,DIVISION 3
434,McDANIEL,8.7,DIVISION 3
435,McMURRY,-17.0,DIVISION 3
436,MERCHANT MARINE,21.7,DIVISION 3
437,METHODIST COLLEGE,-6.4,DIVISION 3
438,MIDDLEBURY,30.0,DIVISION 3
439,MILLIKIN,16.9,DIVISION 3
